id,class,ap,max_ap,hp,max_hp,range,max_range,damage,max_damage,color,description
1,Vampyr,0,12,6,12,1,6,1,2,CB0000,Gains 2 HP on Kill 
2,Dimensional Hopper,0,12,6,12,1,6,1,2,352895,Can Move Up/Down Layers by spending 2AP with the >warp up & >warp down commands
3,Lava Diver,0,12,6,12,1,6,1,2,FC482E,"You are immune to fire tiles, people on the same tile as you during AP distribution take 1 Damage"
4,Switchmate,0,12,6,12,1,6,1,2,844B9C,Can swap places with any player for 4AP with the >swap @mention command
5,Mailman,0,12,6,12,1,6,1,2,F7F7F2,Can gift/receive AP to/from anyone or chest regardless of range or current tile with the >deliver @mention command
6,Cloudborn,0,12,6,12,1,6,1,2,A8DDFF,"Can move on void and wall tiles, gaining 1 range on walls and losing one on void, uneffected by ice tiles."
7,Oracle,0,12,6,12,1,6,1,2,320051,"Can see: all layers, players in smoke tiles, trapped tiles, and spies"
8,Necromancer,0,12,6,12,1,6,1,2,632271,Can bring someone back to life placing them in range for 12AP with the >resurrect @mention <layer> <x> <y> command
9,Hot Potato,0,12,6,12,1,6,1,2,D3986C,"Can swap classes with someone in range for 12AP with the >hotpotato layer, x, y command, taking their starting max buffs and debuffs along with their ability"
10,Hitman,0,12,6,12,1,6,1,2,AD2424,"Gains 4AP for killing a target, recieves a new target upon the death of the current one"
11,Smoker,0,12,6,12,1,6,1,2,797772,"Can turn a blank tile in range into a smoke tile for 1AP with the >smoke layer, x, y command "
12,Construction Worker,0,12,6,12,1,6,1,2,FF9F0F,"Can turn any non-gateway tile in range into a wall or chest tile in range for 3AP with the >build wall/chest layer, x, y command"
13,Pharaoh,0,12,6,12,1,6,1,2,D3C461,"If the Pharaoh attempts to get more than 12HP they instead gain an extra life that starts at that overflow HP to a maximum of 12HP on revival, upon death they instead are put on a random tile"
14,Gravedigger,0,12,6,12,1,6,1,2,83716B,"Can turn any empty non-gateway tile  in range into a void tile for 4AP with the >dig layer, x, y command, can move on void tiles"
15,Stormchaser,0,12,6,12,1,6,1,2,6821C0,Every time you enter a storm tile gain 1d4-2 AP
16,Pyromaniac,0,12,6,12,1,6,1,2,EE3271,"Can turn any non-gateway tile in range into a fire tile for 5AP with the >burn layer, x, y command"
17,Doctor,0,12,6,12,1,6,1,2,C6FF6C,"Can turn any non-gateway tile in range into a heal tile for 5AP with the >heal layer, x, y command"
18,Guardian,0,12,6,12,1,6,1,2,473B86,"Can lock or unlock a gateway tile in range for 2AP with the >lock layer, x, y command. Can lock all gates on a layer unless they are one of the last 3 players then they must leave one open at all times"
19,Robot,0,12,6,14,1,6,1,2,899DA3,"Every time you enter a storm tile gain 1HP, increased max HP "
20,Druid,0,12,6,12,1,6,1,2,426836,"Can turn any non-gateway tile in range into a storm tile for 5AP with the >conjure layer, x, y command"
21,Chef,0,12,6,12,1,6,1,2,DA8968,"Can give another player in range 2AP & 1 HP and recieve 1 AP with the >cook layer, x, y command, you can do this for each AP distribution. See your meals stat for how many times you can currently use this."
22,Minesweeper,0,12,6,12,1,6,1,2,4E4E4E,"Can plant an invisible mine on tiles in range for 1AP with the >arm layer, x, y command, immune to mine damage"
23,Clockwatcher,0,12,6,12,1,6,1,2,FFFFFF,Can make everyone except Clockwatchers unable to do anything for 12AP with the >timestop command. This lasts for 4 AP distributions
24,Blacksmith,0,12,6,12,1,6,1,2,D38E9F,"Can give a double damage buff to anyone's next attack in range (including themselves) for 6AP with the >weaponize layer, x, y command, this buff can stack. But one's damage cannot go over their max"
25,Medium,0,12,6,12,0,6,1,2,D53EFF,Can speak with the dead and influence the chaos council votes. They get an extra override and can use them while alive.
26,Snowman,0,12,6,12,1,6,1,2,0181E6,"Can turn any non-gateway tile in range into ice tiles for 2AP with the >freeze x, y command, unnaffected by ice tiles"
27,Fencer,0,12,6,12,1,6,1,2,9fc2cd,"Can deal double damage(up to maximum damage) for 1 AP to anyone on the same tile as them with the >stab layer, x, y command"
28,Twin,0,12,3,12,1,6,1,2,8FE2C6,Controls 2 separate bodies each start with half hp
29,Glutton,-2,10,6,10,1,4,1,1,D37A3B,"Gains double AP every AP distribution, at the cost of reduced starting stat maxes, the debuff of movement costing 2AP and -2 starting AP"
30,Sniper,0,12,4,12,3,6,1,2,FFFF00,"Can use the >snipe command to pierce and hit anyone in the path of attack, pierces wall tiles. Starts with 3 range but 4HP"
31,Cannibal,0,10,4,12,1,6,1,2,D38E9F,"Gains 1 AP on ALL kills, if you kill someone with max AP gain an extra 5AP on top of that, starts with reduced HP and reduced max AP"
32,Hoarder,6,12,6,12,0,6,1,2,7B8D69,Starts with 6AP but starts with 0Range
33,Protagonist,4,16,4,16,1,10,1,4,FFA7A7,"Starts with less hp but has high starting maximum stats, and 4 AP"
34,Exorcist,0,12,6,12,1,6,1,2,00efff,"Can turn any non-gateway tile in range into a blank tile for 3AP with the >exorcize layer, x, y command, and can remove a players class for 16 AP with the >exorcise @mention, layer, x, y command"
35,Hunter,0,12,6,12,4,6,1,2,274e13,"Can turn any non-gateway tile in range into a bush tile for 5AP with the >hide layer, x, y command. Attacks made from inside and on people inside a bush tile do not have a 50% chance to miss"
36,Immutable,0,12,6,12,4,6,1,2,B0B0B0,"You cannot take damage from the >shoot command, but will die after 4 * Total Player Count AP has been distributed, cannot be revived once this threshold is hit"
37,Average,0,12,6,12,1,6,1,2,ffe2c5,(ONLY ACCESSIBLE VIA EXORCIST) You are a normal person with no class ability
38,Spy,0,12,6,12,1,6,1,2,2b2b2b,Only visible to Oracle class
